Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
28/04/2008,3.2994,3.3156,3.2862,3.2988,-0.004,,24,1236,0,0,0
25/04/2008,3.2335,3.3261,3.2175,3.3028,0.0445,,106,1267,0,0,0
24/04/2008,3.2959,3.3175,3.2416,3.2583,-0.0667,,97,1289,0,0,0
23/04/2008,3.3081,3.3236,3.288,3.325,0.0081,,93,1278,0,0,0
22/04/2008,3.3173,3.3472,3.3105,3.3169,0.0055,,232,1328,0,0,0
21/04/2008,3.314,3.3305,3.2615,3.3114,0.0191,,346,1204,0,0,0
18/04/2008,3.2652,3.3005,3.239,3.2923,0.0249,,190,1114,0,0,0
17/04/2008,3.2835,3.3005,3.2467,3.2674,-0.0156,,189,1245,0,0,0
16/04/2008,3.284,3.3075,3.2132,3.283,0.0091,,365,1187,0,0,0
15/04/2008,3.2401,3.2785,3.2401,3.2739,0.071,,89,1172,0,0,0
14/04/2008,3.1815,3.206,3.1787,3.2029,0.0054,,76,1156,0,0,0
11/04/2008,3.19,3.2305,3.1588,3.1975,0.0035,,311,1079,0,0,0
10/04/2008,3.318,3.318,3.1885,3.194,-0.0405,,335,1546,0,0,0
09/04/2008,3.107,3.2517,3.093,3.2345,0.1243,,263,1485,0,0,0
08/04/2008,3.0775,3.1126,3.0666,3.1102,0.0259,,166,1383,0,0,0
07/04/2008,3.0141,3.0926,3.0141,3.0843,0.0922,,96,1352,0,0,0
04/04/2008,2.9455,2.9941,2.9455,2.9921,0.0693,,154,1324,0,0,0
03/04/2008,2.946,2.9897,2.92,2.9228,-0.0282,,304,1239,0,0,0
02/04/2008,2.917,2.9624,2.8508,2.951,0.0713,,319,1094,0,0,0
01/04/2008,2.893,2.9197,2.855,2.8797,-0.0264,,187,1393,0,0,300
31/03/2008,2.9962,3.046,2.8955,2.9061,-0.0815,,202,1329,0,0,0
28/03/2008,3.1254,3.129,3.1219,3.105,-0.0433,,32,897,0,0,0
27/03/2008,3.0777,3.161,3.0708,3.1483,0.1045,,144,842,0,0,0
26/03/2008,2.933,3.0574,2.933,3.0438,0.119,,73,796,0,0,0
25/03/2008,2.964,2.9646,2.8626,2.9248,-0.0383,,173,664,0,0,180
24/03/2008,2.964,3.0061,2.9565,2.9631,-0.0141,,93,636,0,0,0
20/03/2008,3.024,3.024,2.9486,2.9772,-0.0395,,176,565,0,0,0
19/03/2008,3.1135,3.1135,3.0072,3.0167,-0.1212,,251,584,0,0,0
18/03/2008,3.1091,3.15,3.0536,3.1379,0.0695,,237,556,0,0,0
17/03/2008,3.1087,3.1185,2.9886,3.0684,-0.0781,,211,566,0,0,0
14/03/2008,3.117,3.2228,3.1169,3.1465,0.0217,,312,611,0,0,0
13/03/2008,3.0293,3.1262,3.0237,3.1248,0.1004,,461,586,0,0,0
12/03/2008,3.001,3.0259,2.9509,3.0244,0.0287,,186,845,0,0,0
11/03/2008,2.9726,2.997,2.9234,2.9957,0.0223,,259,774,0,0,0
10/03/2008,2.94,2.9839,2.928,2.9734,0.0264,,238,810,0,0,0
07/03/2008,2.9364,2.9858,2.9224,2.947,-0.0263,,121,735,0,16,0
06/03/2008,2.9392,2.9721,2.9126,2.9733,0.0302,,148,731,0,0,0
05/03/2008,2.832,2.9453,2.83,2.9431,0.1513,,171,666,0,0,0
04/03/2008,2.8231,2.848,2.7795,2.7918,-0.049,,91,641,0,0,0
03/03/2008,2.8061,2.8672,2.8054,2.8408,0.0339,,76,649,0,0,0
29/02/2008,2.8139,2.8235,2.7975,2.8069,-0.0159,,174,598,0,0,0
28/02/2008,2.7853,2.837,2.7853,2.8456,0.0745,,49,1262,0,0,0
27/02/2008,2.8069,2.8127,2.7783,2.7711,-0.0439,,127,1271,0,0,0
26/02/2008,2.7608,2.817,2.7608,2.815,0.0297,,166,1637,0,0,0
25/02/2008,2.7671,2.7941,2.7462,2.7853,0.0223,,177,1620,0,0,0
